tarih,saat,lig,mbs,ev,deplasman,iy sonuc,ms sonuc,ms1,msx,ms2,iy1,iyx,iy2,kgvar,kgyok,ciftsans1/x,cs1/2,csx/2,iy1.5a,iy1.5u,1.5a,1.5u,2.5a,2.5u,3.5a,3.5u,toplamgol0-1,tg2-3,tg4-5,tg6+
2024-10-26 00:00:00,14:00:00,NOR3,3,Strindheim,Gjovik-Lyn,3 - 0,5 - 0,1.13,5.15,6.78,1.5,2.59,5.84,1.39,1.96,0.0,0.0,2.01,1.59,1.68,0.0,0.0,2.79,1.16,1.67,1.59,7.19,2.21,2.44,4.7
2024-10-26 00:00:00,16:30:00,TUN1,3,Us Tataouine,Jeunesse Sporti,0 - 3,2 - 4,2.67,2.6,2.15,3.53,1.66,2.95,1.89,1.44,1.19,1.11,1.1,0.0,0.0,2.13,1.32,1.27,2.27,0.0,0.0,2.21,1.82,5.73,34.5
2024-10-26 00:00:00,14:00:00,NOR3,3,Valerenga Ii,Eidsvold Tf,0 - 3,1 - 6,10.7,6.58,1.05,7.85,2.92,1.32,1.49,1.8,2.34,0.0,0.0,1.71,1.57,0.0,0.0,3.23,1.09,1.87,1.44,8.96,2.43,2.35,3.8
2024-10-26 00:00:00,18:30:00,İTC,3,Virtus Verona,Clodiense,3 - 0,4 - 1,2.0,2.65,2.88,2.72,1.71,3.64,1.79,1.5,1.07,1.1,1.23,0.0,0.0,2.29,1.26,1.33,2.1,1.05,3.94,2.38,1.78,5.06,30.5
2024-10-26 00:00:00,19:00:00,İSV,2,Winterthur,Basel,0 - 3,1 - 6,4.22,3.41,1.51,4.43,2.15,1.99,1.5,1.9,1.55,1.05,0.0,1.35,2.21,3.81,1.08,1.91,1.5,1.31,2.35,4.05,1.84,3.09,9.95
2024-11-09 00:00:00,13:30:00,TSL,1,Antalyaspor,Bodrum Fk,3 - 1,3 - 2,2.05,2.72,2.98,2.75,1.79,3.71,1.79,1.58,1.1,1.13,1.27,1.16,3.04,2.46,1.27,1.41,2.09,1.08,3.84,2.49,1.78,4.78,27.0
2024-11-09 00:00:00,18:00:00,KİRL1,3,Ards Fc,Ballyclare Comr,1 - 3,1 - 3,1.58,3.44,3.29,0.0,0.0,0.0,1.28,2.25,1.08,0.0,1.42,0.0,0.0,0.0,0.0,2.27,1.27,1.45,1.86,5.44,2.0,2.67,6.51
2024-11-09 00:00:00,15:30:00,ÇEK,3,Banik Ostrava,Dukla Prag,3 - 0,6 - 0,1.1,5.0,8.55,1.49,2.4,7.33,1.73,1.55,0.0,0.0,2.08,1.39,1.97,4.1,0.0,2.11,1.33,1.37,2.02,4.78,1.93,2.82,7.72
2024-11-09 00:00:00,20:00:00,İSV2,3,Bellinzona,Aarau,0 - 3,1 - 4,2.81,3.0,1.86,3.39,1.91,2.46,1.5,1.79,1.28,1.06,1.07,1.23,2.42,3.11,1.11,1.64,1.62,1.17,2.72,3.32,1.78,3.56,14.15
2024-11-09 00:00:00,18:00:00,KİRL1,3,Dundela,Bangor Fc,0 - 3,1 - 3,2.61,3.39,1.83,0.0,0.0,0.0,1.3,2.19,1.29,0.0,1.1,0.0,0.0,0.0,0.0,2.11,1.33,1.38,2.01,4.83,1.93,2.8,7.61
